191,127
179,156
175,198
162,131
170,145
252,125
266,114
156,184
294,117
269,130
225,118
139,196
168,179
138,180
112,171
125,154
134,127
239,171
232,188
190,159
144,142
133,138
201,174
160,125
298,136
155,187
152,159
243,175
281,141
118,129
162,179
134,121
225,162
288,179
135,105
267,162
197,191
220,164
183,160
150,124
166,100
223,119
152,108
238,167
290,174
217,162
253,107
291,143
270,112
129,180
204,130,174
233,192,112
352,196,168
368,123,139
150,173,119
354,131,152
209,165,104
200,148,127
397,100,152
332,101,129
252,118,111
342,117,127
186,164,167
187,104,130
158,134,125
230,177,100
203,195,155
389,102,128
330,136,134
337,137,112
253,140,131
214,151,106
194,182,110
109,155,160
283,135,151
202,151,189
222,146,194
358,180,139
349,174,161
201,140,183
287,126,167
271,147,126
166,132,181
388,109,102
252,143,102
207,166,163
169,109,166
270,181,156
297,198,189
282,179,131
200,189,173
330,150,169
320,164,123
239,176,181
358,190,148
264,147,181
116,153,115
269,125,126
149,133,120
267,117,156
461,125,112
484,147,198
491,153,161
431,130,100
449,138,186
406,117,179
407,117,167
455,112,131
430,177,132
414,103,149
485,156,122
495,149,119
433,156,141
424,108,159
439,122,115
407,176,143
436,117,198
443,182,158
440,153,118
479,124,131
494,178,138
489,128,181
475,162,100
405,161,131
451,140,191
406,183,120
437,143,117
488,152,141
434,158,116
464,141,113
472,102,139
483,124,173
425,131,110
478,191,136
419,108,163
491,100,183
428,148,116
467,168,130
458,100,153
450,160,188
419,137,143
498,168,115
486,182,174
441,127,130
479,106,105
472,167,106
467,125,122
464,170,111
481,110,170
482,194,195
