163,195
117,177
124,196
182,131
283,124
271,185
111,101
104,193
247,121
124,115
160,140
164,174
148,168
224,144
281,166
193,142
211,129
126,138
279,109
152,116
205,138
124,176
144,187
213,134
254,118
204,170
103,168
189,194
276,151
135,126
117,152
167,178
238,151
105,182
239,194
101,101
295,170
202,100
124,121
274,147
154,161
113,169
222,171
130,197
173,152
136,133
133,145
175,110
176,101
141,134
349,171,104
342,165,106
128,188,135
262,117,166
207,143,119
250,184,144
379,141,164
285,144,195
167,133,191
136,109,139
343,149,113
125,112,163
191,160,187
173,120,115
135,161,129
130,159,172
258,136,192
271,194,148
186,147,109
389,140,117
149,197,129
263,134,160
338,127,161
283,166,158
352,163,168
309,128,116
160,132,160
274,165,127
302,171,195
197,128,153
142,149,173
215,135,105
213,159,155
243,147,194
105,167,127
215,176,134
165,163,139
308,149,195
134,165,176
385,122,138
239,132,196
112,111,185
336,110,114
191,189,147
222,151,189
340,168,162
302,112,111
185,199,114
378,158,142
212,112,157
408,173,111
438,196,105
493,143,144
498,196,131
477,147,196
405,145,181
472,198,124
458,133,185
488,101,111
408,183,189
410,109,164
482,104,137
461,162,130
474,152,109
428,183,143
479,155,127
422,163,162
447,193,157
497,142,143
490,187,125
459,120,187
476,110,149
493,114,142
453,170,140
423,104,194
401,155,166
466,135,191
421,183,110
456,101,119
442,164,128
483,172,156
401,153,134
495,191,187
447,181,151
437,158,165
410,105,126
417,161,177
440,120,188
459,107,183
498,105,140
409,115,110
425,196,107
466,199,182
495,134,104
440,151,144
424,155,147
478,169,140
480,149,130
422,114,178
449,112,147
