163,111
296,197
213,116
174,190
137,190
176,158
243,175
218,181
282,126
197,149
194,168
103,170
280,152
129,114
265,166
285,192
296,110
193,102
250,170
180,192
239,196
252,121
159,197
138,174
222,139
131,110
254,181
203,104
191,124
112,189
142,111
113,181
223,193
241,125
208,184
227,155
228,134
203,117
137,163
199,173
103,185
257,122
117,144
258,189
297,118
236,143
187,123
291,102
150,115
186,188
309,101,146
295,186,140
233,119,158
386,173,158
189,196,162
261,175,152
302,137,168
154,104,197
185,102,105
160,189,176
272,191,111
338,121,104
333,111,141
302,146,189
312,132,153
396,135,166
122,135,129
352,163,176
333,122,112
368,127,173
347,185,188
323,179,179
112,146,136
138,192,183
237,174,188
221,174,198
299,154,177
215,149,158
355,181,111
219,147,160
399,110,172
317,174,167
305,135,111
177,131,110
317,117,130
351,186,148
216,173,196
308,156,181
208,167,106
276,161,180
156,151,182
368,129,196
354,164,138
136,123,117
187,125,101
312,135,105
272,121,176
106,175,145
134,173,129
399,168,125
416,152,166
409,181,153
469,123,127
478,124,148
430,118,155
429,160,198
403,107,132
480,162,107
491,176,148
470,128,138
463,121,163
475,148,129
447,179,193
480,142,180
499,188,162
416,139,157
485,101,185
467,161,169
468,162,162
458,155,134
497,196,114
415,144,174
440,161,116
492,108,181
470,166,145
488,106,167
444,158,129
401,111,139
475,156,153
478,121,150
473,175,169
457,198,163
460,141,188
491,112,166
466,186,169
402,149,111
406,103,134
459,136,179
463,152,146
485,166,136
431,189,175
410,131,134
489,165,166
483,109,192
487,191,164
421,188,145
466,106,142
493,179,176
429,178,134
466,130,129
