253,127
195,169
110,169
201,148
140,159
272,119
280,119
280,125
107,187
164,178
286,101
220,187
150,175
177,157
189,185
151,167
171,152
188,127
148,195
215,196
290,180
212,161
283,184
259,117
294,164
216,138
239,189
118,112
234,175
285,101
260,186
171,151
293,181
254,198
289,113
206,115
181,119
185,106
223,122
201,170
135,128
272,142
282,195
291,148
141,199
236,157
134,119
114,166
285,101
268,160
350,144,118
128,153,125
316,158,152
270,144,136
329,128,106
390,142,135
324,162,194
244,104,114
266,162,142
349,126,186
346,187,151
202,156,180
316,170,120
377,169,198
153,172,172
115,142,150
388,157,191
106,197,125
218,176,106
281,182,179
213,185,122
296,124,141
318,129,168
185,130,139
179,132,132
141,137,146
209,198,105
161,153,108
131,115,125
303,176,135
297,136,192
133,197,164
104,176,117
270,148,167
202,144,186
295,197,191
339,145,111
189,126,147
291,158,138
190,110,162
113,120,141
121,190,163
338,129,196
387,130,112
345,160,159
200,106,111
121,155,162
255,175,141
398,188,191
365,184,190
420,131,104
432,173,197
459,159,138
428,152,186
479,162,178
411,129,154
475,125,138
401,150,109
465,184,163
411,175,175
449,186,125
493,199,103
425,177,132
453,124,165
472,117,158
489,135,105
414,116,112
483,161,128
456,151,158
492,130,115
473,199,136
419,125,139
412,138,124
468,180,168
422,108,191
444,169,104
448,157,187
496,174,143
479,176,155
413,182,119
451,102,195
494,128,192
481,182,180
440,104,134
443,100,168
424,155,176
426,175,194
461,190,116
489,171,182
441,191,146
496,166,198
428,195,119
460,182,160
443,143,152
432,120,197
443,155,143
498,112,195
451,111,123
463,190,105
441,151,133
