125,140
265,191
280,136
120,114
281,197
149,160
237,158
205,194
107,141
233,115
269,120
202,151
119,194
209,184
212,193
204,194
263,171
117,154
279,127
197,106
148,178
253,183
238,116
133,107
278,101
253,135
260,125
232,130
262,196
129,112
170,182
270,185
242,151
265,164
111,107
222,168
297,122
150,120
282,122
257,153
282,150
195,101
261,192
269,153
137,107
156,190
284,151
247,142
226,181
201,111
363,146,171
346,123,133
204,165,176
134,179,146
126,151,166
241,130,141
260,185,124
166,114,120
294,143,199
248,106,185
249,161,193
311,100,121
167,186,146
224,107,164
218,198,104
167,159,155
178,193,113
182,118,195
162,173,160
211,174,160
331,195,181
356,116,139
118,192,185
151,113,104
289,175,199
191,144,104
210,179,196
351,105,175
208,157,101
181,150,174
145,113,120
247,120,115
120,188,104
293,196,135
169,173,129
251,157,131
163,152,119
318,114,164
174,125,121
199,139,152
140,172,119
289,162,137
191,130,169
110,119,177
276,189,178
244,158,105
216,190,137
324,158,191
259,175,142
232,150,107
407,195,163
410,100,134
432,189,142
402,186,104
405,123,138
414,175,163
470,104,132
490,193,185
490,174,159
413,113,167
498,159,103
448,173,196
465,176,103
406,117,153
425,118,172
473,134,110
466,172,132
428,114,129
475,125,188
427,146,105
441,103,106
424,109,165
483,156,196
441,174,118
463,169,161
465,192,148
459,102,197
474,104,114
469,135,116
485,192,122
492,191,100
476,133,170
446,185,142
428,180,131
478,147,118
436,182,160
447,167,181
408,133,173
421,169,165
413,180,164
433,135,157
460,101,181
488,165,161
488,168,196
402,190,190
411,104,108
444,135,171
420,170,157
469,181,157
474,167,103
