256,196
278,114
167,114
206,144
269,189
268,181
250,171
118,171
255,118
236,174
212,129
197,148
108,165
231,193
120,179
267,136
188,169
107,128
266,160
176,181
257,100
228,151
161,128
177,146
238,166
244,121
223,147
234,196
170,116
173,196
270,108
282,122
268,130
275,137
218,175
140,130
277,197
100,173
259,107
210,137
107,137
161,193
249,196
106,166
250,103
164,122
264,125
227,167
290,123
202,137
276,195,106
298,186,138
300,144,199
371,118,137
229,113,188
102,147,131
362,142,156
116,114,187
343,154,168
187,172,140
153,160,159
199,145,182
399,129,105
311,190,173
322,181,179
223,148,132
109,157,134
195,112,145
191,161,127
190,174,125
373,181,131
187,156,123
391,130,120
384,114,102
296,112,112
279,148,160
189,160,103
121,170,155
331,180,118
126,179,101
241,191,129
398,105,137
219,172,178
190,185,153
316,189,172
197,193,105
145,186,192
281,148,136
290,156,111
223,135,177
288,108,133
355,173,127
174,198,103
342,100,185
110,155,170
105,175,187
305,124,199
143,128,196
252,177,154
199,162,189
471,170,186
491,166,146
411,116,198
495,189,196
467,161,147
425,156,177
444,167,152
408,183,181
414,120,153
429,118,155
447,109,165
494,116,145
412,119,109
465,138,131
469,194,132
416,109,109
451,129,113
460,145,153
495,190,145
456,165,116
429,186,182
429,166,168
427,194,175
412,177,166
457,130,146
485,167,178
438,174,174
454,175,187
414,138,169
417,189,115
492,184,181
430,192,184
428,176,159
412,186,119
401,191,160
496,117,185
484,117,196
420,166,143
465,188,118
432,172,173
447,174,176
424,196,140
439,102,122
423,160,100
407,125,136
432,174,122
402,177,143
491,106,110
426,184,113
406,140,187
