236,127
244,109
279,181
287,148
202,131
130,109
171,120
220,142
257,121
209,125
293,114
148,121
245,113
290,174
287,130
295,192
131,180
218,173
113,196
107,113
217,160
254,152
153,131
175,123
281,199
220,111
114,124
194,167
253,165
192,145
241,113
104,128
244,113
172,101
274,149
285,185
171,136
198,183
175,160
295,115
261,179
157,198
217,149
215,145
251,147
260,149
180,162
200,145
212,121
286,185
347,167,126
126,130,133
283,150,177
208,192,178
106,144,189
275,165,106
319,186,131
384,148,104
322,182,136
179,199,124
255,179,155
279,161,117
376,174,178
386,180,179
175,155,108
354,130,125
266,182,173
380,161,150
114,162,118
296,163,130
209,174,145
198,142,105
156,170,158
131,117,182
178,164,116
388,198,178
341,132,112
138,145,109
244,103,143
318,133,130
190,113,137
379,191,127
217,196,187
189,188,136
165,187,145
368,106,172
130,134,123
349,196,166
181,171,137
174,152,120
349,109,129
394,112,168
205,116,103
353,175,106
113,138,139
184,157,191
154,146,134
208,154,115
385,109,174
344,160,199
447,197,148
472,198,127
494,168,127
465,144,160
403,104,191
463,145,177
432,112,151
475,187,178
467,179,139
428,130,153
461,194,190
488,125,172
472,105,131
426,101,100
428,137,120
413,184,121
421,123,180
460,106,180
448,162,103
476,123,127
421,138,176
487,171,145
425,185,185
441,179,192
410,104,172
451,122,144
401,163,178
453,180,146
422,123,123
415,168,158
468,185,130
435,196,131
484,129,167
474,113,113
465,142,116
458,195,166
404,108,189
453,167,152
401,196,152
433,178,106
480,186,190
499,198,152
478,173,136
480,183,177
489,118,126
414,198,120
477,192,162
470,182,159
442,135,173
412,163,166
