267,177
170,124
288,193
211,140
270,120
243,121
264,111
126,191
131,117
127,109
103,133
126,174
260,112
190,138
219,198
114,117
299,151
283,173
141,179
280,154
212,143
107,187
204,140
228,185
190,197
229,131
149,168
104,197
288,182
216,169
220,172
195,153
277,171
217,173
250,137
237,112
194,150
124,186
150,188
294,179
173,182
272,106
294,104
260,147
245,150
262,128
149,160
187,176
254,185
176,132
172,180,192
238,104,119
184,105,147
300,141,143
244,183,175
167,114,169
124,186,192
166,167,165
338,102,105
245,189,154
332,115,134
115,131,116
137,168,160
132,125,189
239,172,176
136,140,126
320,171,142
196,176,120
152,104,122
125,153,114
323,145,184
166,182,121
201,118,109
320,174,184
241,172,158
137,192,150
336,109,122
137,137,123
389,180,137
398,131,118
224,102,107
122,144,164
231,165,106
272,140,191
278,129,163
396,141,180
309,167,163
331,111,196
133,125,172
188,197,178
399,141,152
365,193,158
274,102,108
104,150,182
304,138,196
246,167,183
324,120,182
250,136,138
282,160,194
381,173,154
493,153,148
442,199,106
446,127,184
479,159,102
485,157,142
412,139,132
445,182,179
461,175,168
404,102,113
485,168,126
458,193,197
443,124,165
407,131,193
467,198,136
494,102,163
487,144,177
444,114,164
437,142,171
409,123,126
400,110,102
468,146,193
413,120,163
476,177,178
407,107,198
442,188,146
458,145,169
401,134,115
457,190,120
482,101,135
466,187,120
450,121,137
472,198,195
407,137,192
423,115,154
435,170,154
404,168,116
442,135,114
450,159,104
449,179,193
489,118,193
427,161,169
480,114,120
488,170,122
470,156,147
490,196,197
445,110,199
442,105,185
442,130,113
405,172,131
429,133,138
