218,140
299,143
217,186
169,116
283,151
276,101
156,117
200,150
258,153
238,154
111,141
166,187
260,118
260,168
123,132
274,138
225,100
202,195
262,195
246,131
162,113
150,158
246,129
101,116
261,113
257,123
141,158
245,118
157,177
245,191
124,164
101,131
179,124
253,143
161,189
245,135
106,129
249,123
195,115
162,126
132,162
121,166
154,126
264,107
296,106
183,192
177,124
288,119
213,140
296,190
322,172,178
342,142,177
309,141,138
338,125,105
333,166,119
251,159,112
348,178,121
307,108,171
344,100,164
270,126,164
222,161,184
339,124,129
321,147,161
131,112,107
384,124,111
319,150,112
356,177,111
174,188,174
116,109,158
259,185,156
338,156,107
338,140,154
389,172,173
341,133,185
341,133,189
373,182,162
174,175,180
280,114,128
166,121,182
136,154,141
192,124,173
356,179,111
346,142,111
399,109,109
221,107,136
177,133,190
158,188,156
219,108,142
137,192,146
214,186,151
174,179,171
191,163,108
191,100,133
111,100,165
297,158,190
134,122,142
320,128,107
227,168,101
360,126,164
114,191,183
465,199,199
445,111,193
489,136,171
407,146,168
406,124,138
499,104,157
486,185,178
483,154,137
444,171,159
493,106,114
491,103,190
442,140,114
407,126,185
476,182,162
405,101,158
478,194,142
450,124,162
485,110,187
422,173,142
439,154,110
421,103,141
493,190,158
498,111,129
417,141,112
444,152,169
499,120,120
447,142,176
400,115,179
482,167,119
490,162,177
437,194,127
427,146,143
464,106,117
419,176,184
456,148,138
481,175,138
428,165,192
458,123,136
488,142,149
444,157,114
407,127,175
408,170,176
496,148,172
427,124,122
479,153,198
408,159,114
415,173,162
426,101,184
438,128,127
411,114,122
