291,162
266,181
248,114
142,122
220,149
162,191
228,199
139,109
182,174
168,185
227,174
295,141
196,139
123,191
120,168
234,164
219,175
163,176
227,193
165,125
156,120
210,161
131,170
226,141
240,198
108,116
188,135
239,150
186,153
103,135
186,169
147,180
208,131
131,145
276,107
111,140
154,197
235,106
153,162
271,115
249,181
186,188
221,166
166,102
137,166
262,146
189,124
285,121
246,189
288,129
346,139,187
293,118,119
166,142,186
273,181,143
365,161,163
281,174,145
196,168,183
347,133,117
272,101,141
150,118,110
138,131,190
143,156,155
184,127,114
182,164,177
130,186,176
257,109,170
370,110,188
186,138,175
355,111,179
140,126,134
230,176,155
272,131,105
325,198,192
360,179,174
398,108,152
182,134,194
339,112,170
343,171,119
240,182,189
234,196,120
359,183,147
202,109,124
258,198,123
390,146,187
109,190,126
327,180,169
344,138,166
366,153,113
145,104,195
309,105,143
144,187,143
141,181,137
371,198,166
331,166,131
374,151,185
237,104,146
297,154,168
349,192,186
263,165,186
119,189,179
417,125,173
467,107,138
440,124,181
499,164,158
462,186,113
412,142,156
433,185,121
424,171,186
480,185,158
449,166,186
420,129,136
462,135,178
439,127,197
456,140,147
448,172,130
481,133,107
484,138,180
484,198,110
466,169,190
446,139,174
404,144,175
482,171,107
465,154,159
437,142,168
487,177,125
445,139,186
471,143,108
488,102,191
401,189,183
471,159,151
445,147,165
404,106,102
460,195,176
408,170,167
468,100,142
430,159,129
409,184,175
469,113,106
439,133,118
494,179,143
493,125,189
458,169,136
412,194,181
496,151,140
413,169,100
433,165,182
427,187,196
423,113,124
411,103,130
432,149,114
