270,156
105,149
101,126
155,117
174,143
129,126
121,181
138,154
174,155
164,190
184,102
285,144
297,127
213,197
295,182
199,174
276,142
158,109
123,180
156,199
254,126
278,102
181,183
147,185
177,195
211,140
222,118
212,150
254,166
120,148
155,137
155,169
276,100
136,149
129,183
154,151
290,130
128,150
257,133
234,180
264,104
280,174
189,101
234,168
234,128
298,107
272,117
222,100
220,109
113,127
150,159,125
157,138,122
183,135,133
137,114,117
124,130,127
134,117,100
203,162,171
227,119,187
213,170,180
353,186,169
227,114,190
193,112,188
153,186,175
181,182,164
224,109,149
253,152,104
266,110,133
233,150,157
275,146,151
196,182,106
243,112,140
296,114,169
120,198,193
106,104,146
111,109,151
228,155,130
283,175,153
268,119,103
142,109,195
132,164,114
192,100,187
299,166,145
213,187,104
165,152,174
379,109,173
101,196,187
178,187,125
351,101,158
323,197,197
370,197,128
175,177,113
131,153,124
132,197,171
242,172,151
399,191,118
375,146,164
271,140,181
114,116,133
123,104,129
378,173,139
410,126,156
412,190,123
427,177,101
405,140,130
482,114,129
496,118,114
476,117,183
447,194,126
405,128,113
441,158,104
479,117,179
434,143,124
418,124,167
401,199,109
481,157,111
483,128,128
460,161,186
497,168,150
407,186,144
437,121,181
466,154,159
461,102,174
469,149,194
486,170,148
437,199,105
429,154,186
454,133,142
497,145,144
491,168,192
465,141,179
494,186,192
471,177,172
492,159,153
475,133,112
467,110,191
498,184,155
452,175,172
431,121,197
424,173,140
489,143,116
429,186,133
442,184,197
460,196,158
463,192,181
460,176,196
416,172,195
471,118,108
434,166,148
438,110,179
477,162,144
