273,150
163,199
270,186
111,144
195,157
118,126
255,102
240,150
181,184
254,143
226,172
117,150
110,110
290,171
189,103
281,145
145,101
214,140
190,154
247,114
297,172
164,139
110,118
148,120
100,104
173,136
215,198
200,146
115,103
206,173
215,121
227,165
197,184
230,190
181,171
170,164
177,160
244,154
168,160
152,128
290,128
275,192
293,155
287,184
258,180
263,194
247,180
271,126
218,192
198,137
162,150,151
315,117,114
337,118,175
205,157,186
362,182,122
370,187,120
168,177,173
124,162,138
233,123,133
190,154,182
226,103,191
394,139,195
151,155,180
291,101,132
249,162,128
384,164,114
399,188,129
373,147,101
249,165,121
291,184,198
335,185,111
310,186,100
135,104,126
169,100,198
115,194,109
168,125,140
209,156,158
356,115,100
356,138,151
292,158,152
350,126,100
368,104,169
195,111,133
189,166,126
385,137,168
382,105,187
311,124,136
321,179,120
342,189,180
155,109,198
388,101,145
286,197,129
238,137,179
184,122,131
231,188,160
187,113,145
237,164,152
371,197,116
136,155,102
341,139,100
494,195,185
498,183,153
478,154,140
432,166,122
402,178,110
461,172,105
402,178,165
427,159,148
489,198,153
461,199,160
461,129,130
448,135,124
438,153,112
489,198,180
432,110,165
454,149,131
482,165,118
422,153,179
496,137,131
481,104,147
433,174,175
446,186,172
406,179,115
408,193,165
429,105,168
423,190,187
478,148,153
466,186,152
484,126,191
441,115,195
459,169,144
486,180,143
489,111,172
402,122,151
427,165,180
445,195,178
499,156,128
434,189,160
414,101,188
414,164,115
438,107,171
450,159,117
404,133,196
413,119,126
411,145,157
499,196,102
440,118,127
402,127,199
451,155,113
485,195,156
