210,124
295,147
170,143
185,123
101,151
223,158
190,119
247,108
236,129
234,141
180,106
281,105
275,151
111,140
168,192
232,146
144,176
143,199
235,188
140,134
156,153
189,133
119,161
275,167
290,126
229,129
285,199
155,142
214,148
129,149
294,157
163,169
255,146
215,109
271,106
293,138
238,186
108,174
242,134
238,111
108,179
204,133
259,104
292,121
263,186
198,187
256,138
286,170
261,111
100,100
240,122,140
241,178,115
104,170,153
277,104,191
246,153,168
168,105,111
100,137,180
247,131,153
220,124,146
106,143,120
105,176,163
215,191,192
389,188,179
207,106,142
195,123,111
141,160,138
139,115,156
359,113,190
396,171,128
106,170,121
320,143,180
297,165,149
340,166,150
301,159,146
123,146,101
297,103,137
246,103,109
141,175,179
287,194,197
285,162,109
259,190,113
129,175,187
160,105,118
304,110,186
373,188,130
336,125,155
119,158,127
219,199,187
117,156,162
336,133,119
101,108,192
230,137,134
355,186,194
374,150,154
200,167,153
336,141,169
359,146,187
316,143,171
313,137,147
295,133,141
465,189,108
459,185,137
445,150,156
435,105,197
406,115,133
476,163,154
487,188,196
465,114,126
434,105,123
418,152,144
449,167,141
428,149,163
482,102,184
408,162,153
439,165,108
400,148,164
450,126,195
434,147,133
424,150,127
479,149,110
460,146,125
439,197,114
483,187,195
498,120,142
472,123,191
474,123,141
494,145,119
408,107,186
456,114,159
495,188,100
480,190,191
470,169,185
453,117,169
420,181,140
405,119,163
431,100,177
456,109,155
453,134,177
450,192,151
459,144,160
431,168,194
413,186,164
403,181,136
452,165,149
411,181,184
470,127,185
472,194,142
477,118,170
403,123,196
441,137,113
-1
