285,186
164,174
126,126
239,123
159,150
250,164
141,146
290,151
170,165
154,126
245,121
208,121
211,137
132,166
225,179
225,155
277,105
129,125
241,118
137,171
170,126
118,130
267,150
266,162
129,190
239,115
163,193
247,103
161,115
174,171
269,179
180,114
226,128
139,161
183,126
225,113
192,186
298,135
154,175
102,125
121,120
138,199
216,155
286,113
275,127
266,117
252,186
118,137
201,163
220,174
151,123,124
276,161,191
268,173,175
229,158,182
160,172,144
214,115,175
362,126,191
199,174,170
387,156,109
216,102,113
178,187,118
248,117,120
312,190,135
318,180,108
357,169,188
130,175,143
136,130,122
283,136,149
141,199,129
282,133,181
225,180,132
366,174,189
210,186,131
185,171,173
228,149,168
327,127,106
292,172,144
246,151,167
261,106,108
276,163,135
115,121,178
138,126,114
103,166,100
165,188,152
213,101,112
291,115,152
347,136,160
296,110,117
305,178,147
317,185,105
344,123,119
183,124,128
381,191,156
336,142,190
169,105,115
360,162,119
257,195,142
203,142,111
322,143,199
374,135,128
474,139,128
467,117,132
413,102,131
497,133,174
466,121,168
434,135,197
466,135,167
408,153,140
470,109,125
490,166,133
439,101,137
404,196,121
440,111,172
431,134,184
451,196,189
401,162,168
464,124,183
485,180,116
484,191,132
466,191,160
433,139,132
461,180,133
455,119,173
478,160,192
469,164,169
431,182,123
475,159,149
485,181,176
470,159,199
468,121,178
479,144,138
401,102,131
430,130,109
461,180,149
482,197,179
445,199,118
438,150,131
423,145,111
497,145,166
436,189,162
471,137,141
403,183,178
497,185,167
460,195,177
404,117,151
442,139,187
486,165,129
470,146,159
417,176,186
475,147,192
