170,147
110,108
289,155
260,116
242,193
160,183
129,124
207,136
203,111
139,106
283,165
260,138
266,186
159,105
279,165
156,126
254,129
222,155
189,173
204,182
201,159
292,177
191,152
151,147
246,195
288,117
226,184
142,101
292,110
216,128
132,125
256,124
193,112
144,195
183,163
177,135
135,176
147,155
220,185
183,197
233,195
184,154
265,138
151,116
262,177
150,179
155,100
204,115
253,133
223,110
204,157,188
317,179,176
376,114,165
227,193,102
148,130,155
168,160,153
333,111,166
333,163,128
139,114,153
184,184,151
128,188,191
154,129,170
263,181,108
206,150,138
214,143,175
340,165,196
108,107,114
290,195,138
385,127,185
339,135,189
200,191,157
139,141,160
392,165,138
325,141,178
366,162,185
286,118,138
135,118,173
166,147,138
384,131,108
205,156,143
390,188,147
304,100,133
321,134,148
306,159,164
253,115,177
155,196,101
330,179,172
205,142,167
304,181,107
368,186,182
217,125,185
328,195,118
140,146,140
311,162,146
124,181,143
105,169,168
289,195,137
152,125,178
368,174,144
117,175,129
425,166,152
427,137,145
402,158,154
452,101,189
410,131,184
424,100,155
479,171,189
480,120,140
424,141,198
419,133,141
456,152,100
420,180,151
410,139,179
403,157,125
413,146,112
471,115,118
407,130,105
490,112,104
495,123,151
465,105,126
425,129,133
478,119,153
497,199,132
498,169,170
449,153,168
407,188,108
440,190,100
490,187,187
454,136,198
442,102,119
440,110,173
458,148,149
435,188,112
469,126,159
462,166,166
498,193,165
445,196,129
489,199,154
457,192,114
450,114,133
479,187,124
477,136,134
420,132,187
458,113,118
473,104,193
400,101,118
464,122,132
454,109,126
464,111,117
442,149,156
