199,106
267,153
140,103
150,122
274,113
261,105
243,105
259,186
282,151
103,173
242,144
151,101
225,102
137,137
285,110
103,130
290,147
263,116
220,109
212,163
199,176
140,142
217,166
167,119
113,140
153,111
286,145
132,149
254,142
213,190
258,106
177,155
202,154
163,106
250,166
101,100
224,190
201,120
273,147
155,142
240,106
277,150
114,119
222,159
145,132
216,106
114,117
132,143
117,120
157,116
285,165,169
245,129,144
228,127,171
120,151,185
107,128,156
224,149,169
341,156,184
103,131,100
267,189,130
171,142,111
350,101,140
167,117,142
193,125,104
161,159,140
328,133,119
110,142,134
386,176,138
178,106,131
169,120,147
303,134,149
246,197,137
174,161,140
292,102,177
389,165,129
125,105,120
107,148,125
194,118,186
220,128,163
228,140,123
295,119,114
112,131,168
302,188,151
366,108,165
331,191,156
181,157,156
101,145,193
181,100,193
268,122,145
363,197,100
314,149,185
231,132,181
287,128,192
392,147,132
367,150,112
314,103,126
189,154,185
194,133,166
291,171,163
348,130,103
205,102,150
430,173,163
451,195,115
451,185,136
450,131,140
435,173,143
477,145,118
461,160,159
482,155,106
467,156,173
449,108,100
449,115,119
456,119,136
480,150,105
492,109,181
463,152,190
434,192,102
429,144,179
488,100,115
450,154,118
490,105,108
494,140,101
490,164,157
459,103,119
463,188,185
459,120,104
411,172,187
433,171,159
462,166,187
486,194,192
450,111,150
456,115,150
407,126,173
464,109,183
448,128,172
491,145,117
442,138,137
486,132,169
411,159,180
431,162,127
442,195,198
471,152,110
448,131,152
409,166,152
456,106,142
435,116,107
439,136,156
401,145,127
457,164,154
484,168,174
437,189,126
