193,175
107,135
299,166
272,148
295,154
276,153
286,122
193,104
132,102
141,115
123,183
204,188
163,184
109,136
276,186
237,155
278,167
208,107
104,175
198,160
261,195
121,116
140,199
253,183
214,167
129,111
275,191
194,139
245,137
182,154
142,180
165,199
238,155
108,108
212,159
244,172
277,141
143,117
267,132
194,154
189,127
118,102
284,140
145,164
253,130
193,192
114,173
193,166
243,156
276,141
383,190,169
186,129,141
129,100,117
245,117,110
387,106,129
340,102,158
102,190,154
214,179,137
384,187,187
328,196,173
147,160,129
116,115,129
297,127,156
329,199,114
276,122,118
211,174,117
388,181,173
133,133,114
140,183,179
140,193,120
322,143,110
288,181,193
121,126,167
371,136,168
397,187,173
155,101,135
240,140,176
130,163,158
380,162,187
392,108,147
269,142,159
118,120,172
216,198,119
179,169,192
115,197,122
373,150,124
308,118,111
367,192,179
362,196,154
250,145,178
343,184,168
291,110,181
286,114,118
361,101,124
398,154,144
156,152,130
257,105,136
243,169,136
205,182,167
380,108,157
485,107,108
447,167,138
435,118,144
468,175,120
415,123,119
499,121,169
461,192,156
487,123,147
427,136,134
422,107,149
491,115,156
468,170,188
433,127,158
490,125,127
407,182,193
487,166,185
426,103,190
454,161,177
412,118,116
419,137,151
472,107,132
466,109,169
475,128,157
427,120,184
425,175,169
411,195,129
405,153,184
412,194,116
458,100,184
451,181,193
460,185,128
435,170,156
461,134,137
429,153,158
492,166,137
468,150,156
489,175,164
406,195,110
491,102,149
495,113,199
401,162,112
421,173,196
438,181,151
499,173,105
479,146,130
401,161,198
482,191,199
453,153,113
414,126,135
461,153,166
-1
