249,122
265,113
242,191
267,132
192,193
117,105
198,109
277,125
178,169
106,166
261,160
193,137
185,131
133,101
214,172
206,154
117,125
240,109
166,137
260,163
148,147
235,127
293,140
191,118
184,160
196,154
223,153
179,187
148,188
264,107
256,180
185,168
230,129
191,103
215,122
297,172
222,152
139,133
203,107
102,106
157,186
129,179
296,174
277,156
207,117
126,166
115,174
213,122
193,109
106,152
197,137,119
202,110,157
200,191,180
369,199,179
374,114,127
229,145,121
240,128,162
344,131,143
270,186,104
124,188,134
373,132,157
352,102,189
353,196,190
317,115,140
153,106,141
233,129,112
246,165,179
179,108,176
211,142,142
260,159,162
361,127,133
262,195,114
169,113,133
237,174,142
380,166,181
264,199,125
156,195,149
341,101,178
151,126,126
146,126,132
394,124,126
297,141,159
178,130,190
295,103,114
214,114,160
273,120,140
305,173,146
158,189,111
165,175,154
292,153,152
219,150,188
262,165,139
394,107,142
146,127,165
196,146,176
239,187,175
348,158,185
354,118,111
292,129,144
324,113,138
471,144,161
426,106,125
448,109,178
401,129,108
417,197,178
474,136,131
496,109,145
434,109,170
412,108,122
425,126,172
476,130,173
474,127,160
449,188,153
428,171,134
448,117,115
462,155,136
404,127,152
483,121,177
471,109,172
454,152,121
494,131,139
459,110,109
481,171,158
403,198,103
428,174,190
406,115,128
485,112,198
442,190,101
430,149,165
438,179,132
454,158,154
477,142,118
482,153,124
433,104,194
473,115,118
452,168,181
471,155,178
405,105,193
427,107,197
460,162,197
444,135,151
420,108,130
465,101,145
440,104,156
402,133,152
491,135,101
497,135,108
476,128,103
437,120,186
445,122,112
